pub_dt,0
2020-01-31,2653
2020-02-29,2420
2020-03-31,2905
2020-04-30,3117
2020-05-31,2621
2020-06-30,3094
2020-07-31,2977
2020-08-31,2636
2020-09-30,2989
2020-10-31,3337
2020-11-30,2939
2020-12-31,3433
2021-01-31,2790
2021-02-28,2857
2021-03-31,3682
2021-04-30,3433
2021-05-31,3262
2021-06-30,3536
2021-07-31,3571
2021-08-31,3537
2021-09-30,3546
2021-10-31,3130
2021-11-30,3530
2021-12-31,3824
2022-01-31,3031
2022-02-28,3240
2022-03-31,4409
2022-04-30,3318
2022-05-31,3846
2022-06-30,4078
2022-07-31,3153
2022-08-31,3965
2022-09-30,4078
2022-10-31,3918
2022-11-30,4201
2022-12-31,4507
2023-01-31,4186
2023-02-28,3879
2023-03-31,4445
2023-04-30,3590
2023-05-31,4202
2023-06-30,4789
2023-07-31,3499
2023-08-31,4599
2023-09-30,3932
2023-10-31,4772
2023-11-30,4730
2023-12-31,3948
